Mainfile,Formula,Entry_id
AminoAcids/ser/Dipeptide/Ba/conf_0011/FHIaims.out,BaC6H12N2O3,-OiLv6fTRcCOg6f7CS8Piu2nQhTT
AminoAcids/arg/Dipeptide/bare/conf_2488/FHIaims.out,C9H19N5O2,-P-SKch7TIFPKOqh0ug1z0ZKSrmT
AminoAcids/lysH/Dipeptide/Mg/conf_0589/FHIaims.out,C9H20MgN3O2,-P0wqyml7fltpJEuNkoh1IQtQNmG
AminoAcids/arg/Dipeptide/bare/conf_3385/FHIaims.out,C9H19N5O2,-P5hGuMb2LXlNwsF4-5mcsQ0VANt
AminoAcids/argH/Dipeptide/bare/conf_0866/FHIaims.out,C9H20N5O2,-PIpNztA_TnDxd1H_WViP6CRdf0U
AminoAcids/cys/Dipeptide/bare/conf_0006/FHIaims.out,C6H12N2O2S,-PMvC4YNAl6i1ofDrPlf2ZmHmrqc
AminoAcids/gluH/Dipeptide/Mg/conf_0056/FHIaims.out,C8H14MgN2O4,-POA_qRu282vrNuuYSIbH8bhPzXy
AminoAcids/argH/Dipeptide/bare/conf_0233/FHIaims.out,C9H20N5O2,-PZd2NRFI_7C3u64e86wh3d67bEa
AminoAcids/gln/Dipeptide/Ca/conf_0045/FHIaims.out,C8CaH15N3O3,-PqzbFeFUwG345x49roNHPBjV-9x
AminoAcids/lysH/Dipeptide/bare/conf_0632/FHIaims.out,C9H20N3O2,-Q1mDDF-A_fLbAFP8sFFg3P17SqZ
AminoAcids/hisD/Dipeptide/Ca/conf_0020/FHIaims.out,C9CaH14N4O2,-QNCcYs-Jjm6M-NtKezPsTIzTloV
AminoAcids/arg/Dipeptide/bare/conf_1117/FHIaims.out,C9H19N5O2,-QVSjobCxXCg3Nci_JK0EVHQqodE
AminoAcids/lys/Dipeptide/bare/conf_0979/FHIaims.out,C9H19N3O2,-Qg5YTDACuEe-6RJMY5KjHeu1aKY
AminoAcids/argH/Dipeptide/Mg/conf_0093/FHIaims.out,C9H20MgN5O2,-RTwTK3oaOFRI2uwWVOFC1SRv_go
AminoAcids/lysH/Dipeptide/Ba/conf_0222/FHIaims.out,BaC9H20N3O2,-RcGaNgsdCzHIccedN3mXJW9jWPG
AminoAcids/ile/Dipeptide/Ba/conf_0038/FHIaims.out,BaC9H18N2O2,-Rd4Sr06utH19oxUhKQkKtlH8HgI
AminoAcids/arg/Dipeptide/bare/conf_1285/FHIaims.out,C9H19N5O2,-RlZfc1_WEfYPEvjVsJWVkpCzCKs
AminoAcids/arg/Dipeptide/Mg/conf_0072/FHIaims.out,C9H19MgN5O2,-RtJOhmZ-uSQQPXLmlo3mimOxWke
AminoAcids/arg/Dipeptide/bare/conf_2305/FHIaims.out,C9H19N5O2,-S4hln0VeqcOxr9fJXF0_6nAY-lU
AminoAcids/arg/Dipeptide/Mg/conf_0103/FHIaims.out,C9H19MgN5O2,-SRS7WYoRiup6QP0Hn-ND7WmmN0y
AminoAcids/gln/Dipeptide/Ca/conf_0006/FHIaims.out,C8CaH15N3O3,-SYWVipayJf5JBgqrUFH7dcAAO56
AminoAcids/argH/Dipeptide/bare/conf_0006/FHIaims.out,C9H20N5O2,-SlfBdWlzEhYWEdOYgSprsCPUspY
AminoAcids/arg/Dipeptide/bare/conf_0530/FHIaims.out,C9H19N5O2,-T68_VEcn7x5rG79VE9yiPiMGZph
AminoAcids/lys/Dipeptide/bare/conf_0867/FHIaims.out,C9H19N3O2,-T9POPPpi3_G4XttECxDGqNzv9s-
AminoAcids/gln/Dipeptide/bare/conf_0001/FHIaims.out,C8H15N3O3,-TZb9rrBJdNObXxVjbH5PXKAI4Z-
AminoAcids/ser/Dipeptide/Ca/conf_0010/FHIaims.out,C6CaH12N2O3,-TdEFQOfkEfM9xMbXdPSgnuJagl7
AminoAcids/argH/Dipeptide/Mg/conf_0480/FHIaims.out,C9H20MgN5O2,-TrivXTRgwRDHreCoeZC9pXYuFJT
AminoAcids/lysH/Dipeptide/Ca/conf_0063/FHIaims.out,C9CaH20N3O2,-UI1oYQWwH6sgKXDnRUrmG96RPhz
AminoAcids/argH/Dipeptide/Ba/conf_0333/FHIaims.out,BaC9H20N5O2,-UQ4jy6ybmcKapYg_4wDd5MFwDRp
AminoAcids/lys/Dipeptide/Mg/conf_0005/FHIaims.out,C9H19MgN3O2,-V3psr6mahClf2EnGD0LeqY8ZvJq
AminoAcids/lys/Dipeptide/bare/conf_1733/FHIaims.out,C9H19N3O2,-VQth_FcXW_RHz1mG3dz8XyqSKFN
AminoAcids/gluH/Dipeptide/bare/conf_0266/FHIaims.out,C8H14N2O4,-VVOMTq_VRj1KQGLRA8VdeDGvHmh
AminoAcids/asn/Dipeptide/bare/conf_0080/FHIaims.out,C7H13N3O3,-VWxeiiYhf_Kf9CwI00IsLstOS9o
AminoAcids/argH/Dipeptide/Ca/conf_0068/FHIaims.out,C9CaH20N5O2,-VYcx579NKZ0dhXPO7435nYclNH1
